ID,STREET,CITY,COUNTRY
22085688610,Zaciszna 92,Skawina,68-557
89409735482,Kraszewskiego 53,Wodzisław Śląski,53-596
44283126283,Zakątek 10,Skarżysko-Kamienna,94-536
68726297836,Okrężna 20,Świętochłowice,09-220
50938417058,Nadrzeczna 4,Ostrołęka,12-315
85884567495,Morelowa 61,Słupsk,69-289
62623849435,Kopernika 24,Kluczbork,74-103
82976579768,Jaskółcza 53,Jaworzno,83-749
02711686047,Reja 95,Legnica,05-084
40867812150,Cegielniana 71,Białogard,24-191
66398033548,Ogrodowa 14,Płock,40-642
12893927252,Skośna 30,Kutno,89-449
42775059675,Rynek 16,Bartoszyce,42-322
31086695634,Wiatraczna 69,Racibórz,03-492
42344250458,Ludowa 77,Starogard Gdański,68-968
01557485224,Bukowa 31,Lubartów,34-571
57873152847,Bema 22,Zduńska Wola,63-978
21376243232,Fiołkowa 64,Koszalin,79-575
21900262522,Piłsudskiego 52,Bielsko-Biała,60-759
87501616887,Lazurowa 50,Rybnik,21-545
31446496428,Popiełuszki 96,Gorzów Wielkopolski,83-249
71978366498,Krucza 60,Kołobrzeg,97-540
24965224481,Grunwaldzka 58,Mińsk Mazowiecki,44-403
86420450817,Starowiejska 10,Jaworzno,77-299
24970444210,Jastrzębia 40,Wejherowo,55-889
29030865024,Wiosenna 44,Bełchatów,41-673
62427840010,Rybacka 77,Jastrzębie-Zdrój,55-054
92417557271,Ceglana 17,Grudziądz,02-794
54352429262,Kamienna 84,Września,99-044
34009139353,Witosa 71,Jaworzno,29-146
73213865752,Władysława Jagiełły 1,Sosnowiec,23-953
44802914830,Jana Sobieskiego 23,Biłgoraj,47-571
77493150114,Rajska 18,Kędzierzyn-Koźle,44-381
95930223549,Magnoliowa 16,Gorzów Wielkopolski,11-894
18091984714,Rajska 21,Bełchatów,39-533
91744763928,Błękitna 68,Pruszków,17-792
24518845783,Widok 5,Skarżysko-Kamienna,39-641
86337065040,Baczynskiego 5,Żagań,26-148
59824899122,Zaciszna 46,Legnica,92-056
00204043023,Partyzantów 25,Nysa,83-288
97425925514,Korfantego 11,Cieszyn,46-952
60128641711,Maja 45,Kielce,25-706
77259890871,Perłowa 31,Ostróda,61-010
60394543019,Kossaka 63,Bolesławiec,61-788
60505424110,Kamienna 2,Białogard,70-155
90271474116,Spółdzielcza 93,Inowrocław,56-006
92470117208,Odrzańska 27,Sopot,09-244
15658097761,Azaliowa 99,Bielawa,89-630
90361072615,Konwaliowa 22,Gorzów Wielkopolski,38-109
98852249382,Niepodległości 53,Gdynia,20-119
